item_id,Title,CurrentPrice,MedianSold,ActiveAvg,SuggestedPrice,SupplyCount,Note,UpdateStatus
336086208061,Derek Jeter 2020 Topps Update 20 Years of The Captain #YOC-12 New York Yankees,2.0,1.995,1.98,1.99,11,Browse BIN | ActiveCache | Active median P1,
336086208062,Derek Jeter 2009 Topps Allen & Ginter Highlight Sketches #AGHS18  Yankees,3.65,3.575,3.5,3.5,7,Browse BIN | ActiveCache | Active median P1,
336086208063,Derek Jeter 2018 Topps Derek Jeter Highlights Black #DJH-3 New York Yankees,3.1,3.1,3.1,3.1,1,Browse BIN | ActiveCache | Active median P1,
336086208064,Derek Jeter 1996 Leaf #211 New York Yankees Legend HOF,3.49,3.98,2.49,2.49,13,Browse BIN | ActiveCache | Active median P1,Updated successfully (business policy warning only)
336086208065,Derek Jeter 2012 Bowman #1 New York Yankees Legend HOF,2.55,2.99,2.54,2.55,9,Browse BIN | ActiveCache | Active median P1,
336086208066,Derek Jeter 2020 Topps Update 20 Years of The Captain #YOC-08 New York Yankees,2.15,2.0,1.99,1.99,13,Browse BIN | ActiveCache | Active median P1,
336086208067,"A-Rod Delivers! Yankees Rally Again, Sock Twins! 2005 Topps #349",1.8,1.775,,1.79,0,Browse BIN | No actives | Sold median P1,
336086208068,Derek Jeter 1999 UD Choice #33 New York Yankees Legend HOF GOAT,2.0,3.89,2.0,2.0,13,Browse BIN | ActiveCache | Active median P1,
336086208069,Derek Jeter 2000 Ultra #200 New York Yankees Legend HOF,2.1,3.89,2.12,2.1,10,Browse BIN | ActiveCache | Active median P1,
336086208070,Derek Jeter 1997 Donruss Team Sets #123 New York Yankees Legend HOF,1.99,3.0,1.98,1.99,15,Browse BIN | ActiveCache | Active median P1,
336086208071,Derek Jeter 2008 Upper Deck X #70 New York Yankees Legend HOF,2.95,4.99,2.94,2.95,13,Browse BIN | ActiveCache | Active median P1,
336086208072,Derek Jeter 2008 Upper Deck First Edition StarQuest Green #SQ-42 Yankees Legend,1.99,2.23,1.99,1.99,13,Browse BIN | ActiveCache | Active median P1,
336086208073,The Captain 2007 Topps Turkey Red #109 New York Yankees Legend HOF,2.7,2.36,2.73,2.75,5,Browse BIN | ActiveCache | Active median P1,
336086208074,Derek Jeter 2000 Upper Deck #526 New York Yankees Legend HOF,4.2,4.2,4.2,4.2,2,Browse BIN | ActiveCache | Active median P1,
336086208075,Derek Jeter 2004 Bazooka #116 Fielding New York Yankees Legend HOF,2.0,8.24,1.98,1.99,10,Browse BIN | ActiveCache | Active median P1,
336086208076,Derek Jeter 2022 Topps Fire #114 New York Yankees Legend HOF Captain,4.99,4.99,4.99,4.99,7,Browse BIN | ActiveCache | Active median P1,
336086208078,Derek Jeter 2001 Leaf Rookies & Stars #2 New York Yankees Legend HOF,2.0,1.98,1.98,1.99,7,Browse BIN | ActiveCache | Active median P1,
336086208079,Derek Jeter 1999 SkyBox Thunder #273 New York Yankees Legend HOF,2.75,2.99,2.765,2.75,2,Browse BIN | ActiveCache | Active median P1,
336086208080,Derek Jeter 2015 Topps Gypsy Queen Walk-Off Winners #GWO-5 New York Yankees,2.85,2.88,2.75,2.75,10,Browse BIN | ActiveCache | Active median P1,
336086208082,Derek Jeter 1999 Finest MINT #115 New York Yankees Legend HOF,4.49,4.49,4.48,4.49,6,Browse BIN | ActiveCache | Active median P1,
336086208083,Derek Jeter 2002 Topps Gold Label #2 New York Yankees Legend HOF,21.15,25.99,21.14,21.15,4,Browse BIN | ActiveCache | Active median P1,
336086208084,Alex Rodriguez / Derek Jeter 2005 Upper Deck #280 New York Yankees,3.0,3.25,3.02,3.0,6,Browse BIN | ActiveCache | Active median P1,
336086208085,Derek Jeter 1999 Bowman #290 New York Yankees Legend HOF,1.99,2.24,1.99,1.99,13,Browse BIN | ActiveCache | Active median P1,
336086208086,Derek Jeter 2001 Fleer Focus #1 New York Yankees Legend HOF Captain,1.99,2.49,1.98,1.99,10,Browse BIN | ActiveCache | Active median P1,
336086208087,Derek Jeter 2020 Topps Update 20 Years of The Captain Blue #YOC-05 Yankees,2.5,2.5,2.5,2.5,1,Browse BIN | ActiveCache | Active median P1,
336086208088,Derek Jeter 2018 Topps Derek Jeter Highlights #DJH-10 New York Yankees,2.89,2.89,2.88,2.89,7,Browse BIN | ActiveCache | Active median P1,
336086208089,Derek Jeter 1997 Fleer #703 New York Yankees Legend HOF,2.15,3.0250000000000004,2.1,2.1,14,Browse BIN | ActiveCache | Active median P1,
336086208090,Derek Jeter 2003 Upper Deck Victory #54 New York Yankees Legend HOF,1.99,2.78,1.99,1.99,11,Browse BIN | ActiveCache | Active median P1,
336086208091,Derek Jeter 2017 Topps Archives Derek Jeter Retrospective #DJ-12 Yankees,2.29,2.4850000000000003,2.28,2.29,9,Browse BIN | ActiveCache | Active median P1,
336086208092,Derek Jeter 2014 Topps 50 Years of the Draft #50YD-7 New York Yankees Legend HOF,1.79,3.595,1.79,1.79,13,Browse BIN | ActiveCache | Active median P1,
336086208093,Derek Jeter 2006 Topps #246 New York Yankees Legend HOF,2.49,2.9850000000000003,2.49,2.49,6,Browse BIN | ActiveCache | Active median P1,
